Date,ROWL.JLV1_FLOW.F_CV,ROWL.JLV2_FLOW.F_CV,ROWL.LHHW_FLOW.F_CV,ROWL.NOGALESLS_FLOW.F_CV,ROWL.PM22_FLOW.F_CV,ROWL.PM22_FLOW_SPT.F_CV,ROWL.PM9_FLOW.F_CV,ROWL.RS01_FLOW.F_CV,ROWL.RS06_FLOW.F_CV,ROWL.RS10_FLOW.F_CV,ROWL.RS12_FLOW.F_CV,ROWL.RS2_ZONEII_FLOW.F_CV,ROWL.RS2_ZONEIII_FLOW.F_CV,ROWL.RS2A_BYPASS_FLOW.F_CV,ROWL.RS2A_FLOW.F_CV,ROWL.RS2A_PUMP4_FLOW.F_CV,ROWL.RS2A_STATION_FLOW.F_CV,ROWL.RS4__9_P1_FLOW.F_CV,ROWL.RS4__9_P2_FLOW.F_CV,ROWL.RS4__9_P3_FLOW.F_CV,ROWL.SNTSV1_FLOW.F_CV,ROWL.SNTSV1_FLOW_SPT.F_CV,ROWL.SNTSV2_FLOW.F_CV,ROWL.SNTSV2_FLOW_SPT.F_CV,ROWL.SNTSV3_FLOW.F_CV,ROWL.SNTSV3_FLOW_SPT.F_CV,ROWL.WBS_FLOW.F_CV,ROWL.WBS_PRS_V1_FLOW.F_CV,ROWL.WBS_PRS_V2_FLOW.F_CV,ROWL.WELL1_FLOW.F_CV,ROWL.WELL1P2_FLOW.F_CV,ROWL.WELL1P3_FLOW.F_CV,ROWL.ZONE6_FLOW.F_CV,ROWL.ZONEV_FLOW.F_CV,ROWL.JL_VLV1_CUR_FLW.F_CV
3/9/22 0:00,-0.00125,8.087812424,0.457770646,1000,3.714046001,4,,0.3125,-3.75,8.4375,1.144426584,0,3.9375,2173.875,1462.5,1.375,1462.5,-1.349999905,-3.149999857,-1.349999905,5.998687267,6,5.539218903,6,2.7421875,6,0,0,0,267.1499939,-0.600000024,0.900000036,135.271225,,0
3/9/22 0:05,0,8.083125114,0.457770646,1000,3.750667572,4,,0,-2.125,7.8125,1.144426584,0,4.5,2112.375,1509,1.125,1509,-1.349999905,-3.149999857,-1.349999905,6.103499889,6,5.962125301,6,2.899406195,6,0,0,0,263.5499878,-0.600000024,0.900000036,135.271225,,0
3/9/22 0:10,0.00125,8.091562271,0.457770646,1000,3.724727392,4,,1.25,-4.375,8.75,1.144426584,0,4.6875,2212.125,1289,1.375,1289,-1.349999905,-3.149999857,-1.349999905,5.839031219,6,5.775656223,6,2.95059371,6,0,0,0,262.5749817,-0.600000024,0.900000036,93.84298706,,0
3/9/22 0:15,0,8.079375267,0.457770646,1000,3.730830908,4,,0.9375,-2.5,8.4375,1.373311996,0,4.125,2196,1364.5,1.125,1364.5,-1.349999905,-3.149999857,-1.349999905,6.045000076,6,6.069375038,6,3.000562429,6,0,0,0,266.7000122,-0.525000036,0.975000024,35.70611191,,0
3/9/22 0:20,0,8.103750229,0.457770646,1000,3.732356787,4,,0,-2.25,8.4375,1.144426584,0,4.3125,2018.625,1446.5,1.375,1446.5,-1.349999905,-3.075000048,-1.424999952,6.104718685,6,6.062062263,6,2.85431242,6,0,0,0,269.0249939,-0.674999952,0.900000036,63.17235184,,0
3/9/22 0:25,0.001875,8.092499733,0.457770646,1000,3.683527946,4,,0.3125,-2,8.75,1.144426584,0,4.3125,2118.75,1450,1,1450,-1.349999905,-3.149999857,-1.349999905,6.029156208,6,5.97796917,6,2.739749908,6,0,0,0,271.5750122,-0.600000024,0.900000036,70.95445251,,0
3/9/22 0:30,0.000625,8.087812424,0.457770646,1000,3.700312614,4,,0,-2.375,8.4375,1.144426584,0,4.3125,2214.75,1536,1.375,1536,-1.349999905,-3.149999857,-1.349999905,6.051094055,6,5.846343517,6,2.719031096,6,0,0,0,263.1000061,-0.674999952,0.975000024,58.8235321,,0
3/9/22 0:35,0,8.090624809,0.457770646,1000,3.675898314,4,,0.625,-3.5,8.4375,1.373311996,0,4.6875,2131.125,1431.5,1.5,1431.5,-1.349999905,-3.149999857,-1.424999952,5.999906063,6,6.051094055,6,2.692218781,6,0,0,0,264.1499939,-0.525000036,0.900000036,66.1478653,,0
3/9/22 0:40,0.001875,8.103750229,0.457770646,1000,3.630121231,4,,0.3125,-2.25,7.8125,1.373311996,0,4.3125,2165.25,1410,1.375,1410,-1.424999952,-3.149999857,-1.349999905,5.847562313,6,5.696437359,6,2.848218679,6,0,0,0,265.125,-0.600000024,0.900000036,56.30579376,,0
3/9/22 0:45,0,8.106562614,0.457770646,1000,3.736934423,4,,0,-2.75,7.8125,1.144426584,0,4.125,2182.5,1488,1.625,1488,-1.349999905,-3.149999857,-1.349999905,5.998687267,6,5.853656292,6,2.848218679,6,0,0,0,253.875,-0.600000024,0.900000036,54.24582291,,0
