tagno,relative,age,sex,Illness,employment,salary,modeofpayment,Air quality,,,,
2019-PAL-5-0406,5,15,1,,1,9000,26,34,,,,
2019-PAL-5-0406-02,2,28,2,,2,,,34,,,,
2019-ISG-6-0062-02,1,27,2,,2,,,34,,,,
2019-PAL2-6-0091-02,1,28,2,,2,,,34,,,,
2019-ISU-1-0533,2,62,2,,1,10000,22,34,,,,
2019-UW-6-0035,1,40,2,,1,15000,5,34,,,,
2019-ISG-1-0074-05,2,38,2,,2,,,34,,,,
2019-UW-1-0391-02,4,18,2,,2,,,34,,,,
2019-UW-1-0391-02,4,17,2,,,,,34,,,,
2019-ISU-1-0136-02,4,1,2,,,,,34,,,,
2019-ISU-1-0136-02,4,6,2,,,,,34,,,,
2019-ISU-1-0136-02,1,28,1,,1,13000,5,34,,,,
2019-PAL-5-0300-03,2,27,1,,,,,34,,,,
2019-UW-1-0147-03,2,35,1,,,,,34,,,,
2019-PAL-6-0351,1,52,2,,2,,,34,,,,s
2019-G2-3-0099-02,1,29,2,,2,,,34,,,,
2019-G2-3-0104,4,32,2,,1,10000,26,34,,,,
2019-PAL-6-0396-02,4,9,2,,,,,34,,,,
2019-PAL-6-0396-02,2,45,1,,1,10000,51,34,,,,
2019-PAL-6-0396-02,5,15,1,,2,,,34,,,,
2019-PAL-6-0513-03,5,18,1,,2,,,34,,,,
2019-PAL-6-0513-03,4,22,2,,2,,,34,,,,
2019-PAL-6-0513-03,2,49,1,,1,20000,5,34,,,,
2019-PAL-5-0505,2,56,1,,1,50000,5,34,,,,
2019-PAL-5-0505,4,24,2,,2,,,34,,,,
2019-ISG-4-0094-02,2,25,1,,1,14000,5,34,,,,
2019-UW-1-0101,2,54,1,,2,,,34,,,,
2019-ISU-1-0536,5,11,1,,,,,34,,,,
2019-ISU-1-0536,2,52,1,,2,,,34,,,,
2019-ISU-1-0536,4,19,2,,2,,,34,,,,
2019-G2-3-0548-02,2,49,1,,1,10000,22,34,,,,
2019-PAL-1-0253,4,20,2,,2,,,34,,,,
2019-PAL-1-0253,4,17,2,,2,,,34,,,,
2019-PAL3-6-0018,2,46,1,,1,12000,5,34,,,,
2019-PAL3-6-0018,4,2,2,,,,,34,,,,
2019-PAL3-6-0018,5,14,1,,,,,34,,,,
2019-PAL3-6-0018,4,20,2,,1,18000,5,34,,,,
2019-G2-3-0337-03,1,26,2,,2,,,34,,,,
2019-PAL-1-0104,5,18,1,,2,,,34,,,,
2019-PAL3-3-0158,2,41,1,,1,10000,51,34,,,,
2019-PAL3-3-0161-03,2,36,2,,1,10000,5,34,,,,
2019-PAL3-3-0158,5,13,1,,,,,34,,,,
2019-PAL-6-0038-03,2,28,1,,1,12000,22,34,,,,
2019-PAL-6-0119,2,63,2,,1,18000,22,34,,,,
2019-PAL-1-0183-03,2,46,2,,2,,,34,,,,
2019-PAL-6-0303,6,18,1,,1,15000,5,34,,,,
2019-PAL-6-0303,2,60,2,,2,,,34,,,,
2019-PAL-6-0303,6,14,2,,,,,34,,,,
2019-UW-6-0148,2,50,1,,1,52000,11,34,,,,
2019-UW-6-0148,5,20,1,,1,11000,5,34,,,,
2019-UW-6-0148,4,12,2,,2,,,34,,,,
2019-UW-6-0148,5,10,1,,,,,34,,,,
2019-UW-6-0148,5,2,1,,,,,34,,,,
2019-UW-6-0148,5,17,1,,,,,34,,,,
2019-PAL-6-0051,1,48,2,,2,,,34,,,,
2019-PAL-5-0189,1,38,2,,1,17000,5,34,,,,
2019-G2-3-0107,5,10,1,,,,,34,,,,
2019-G2-3-0107,4,18,2,,2,,,34,,,,
2019-G2-3-0107,2,42,1,,1,20000,26,34,,,,
2019-ISU-1-0315,3,34,2,,1,12000,5,34,,,,
2019-ISU-1-0315,2,40,2,,1,12000,8,34,,,,
2019-PAL4-3-0030-02,1,38,2,,1,15000,11,34,,,,
2019-G2-3-0107,5,9,1,,,,,34,,,,
2019-G2-3-0107,5,15,1,,2,,,34,,,,
2019-G2-3-0107,4,13,2,,,,,34,,,,
2019-G2-3-0286-02,4,19,2,,2,,,34,,,,
2019-G2-3-0286-02,4,14,2,,,,,34,,,,
2019-G2-3-0286-02,4,5,2,,,,,34,,,,
2019-G2-3-0286-02,2,42,1,,1,15000,22,34,,,,
2019-ISG-6-0060-07,5,30,1,,2,,,34,,,,
2019-ISG-6-0060-07,2,55,1,,1,13000,5,34,,,,
2019-PAL2-1-0021,2,46,2,,2,,,34,,,,
2019-PAL3-3-0038-03,1,22,2,,3,,,34,,,,
2019-PAL2-3-0075,2,37,2,,1,10000,22,34,,,,
2019-WC-4-0012,1,58,2,,1,3000,22,34,,,,
2019-ISG-4-0159-03,2,29,1,,1,37000,26,34,,,,
2019-ISU-1-0413-02,1,42,1,,1,10000,22,34,,,,
2019-PAL3-6-0004-03,4,2,2,,,,,34,,,,
2019-PAL3-6-0004-03,2,30,1,,1,22000,5,34,,,,
2019-PAL2-6-0070-02,1,40,1,,,,,34,,,,
2019-PAL2-6-0070-02,4,4,2,,,,,34,,,,
